"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
1993,"Oklahoma","OK",47,5,1,NA,6,48,4,3,NA,7,101,13,149,8.7
1992,"Oklahoma","OK",45,5,0,NA,5,48,5,3,NA,8,101,13,149,8.7
1991,"Oklahoma","OK",45,5,0,NA,5,48,5,3,NA,8,101,13,149,8.7
1990,"Oklahoma","OK",44,5,1,NA,6,48,6,1,NA,7,101,13,149,8.7
1989,"Oklahoma","OK",44,5,1,NA,6,48,6,1,NA,7,101,13,149,8.7
1988,"Oklahoma","OK",42,4,2,NA,6,48,6,1,NA,7,101,13,149,8.7
1987,"Oklahoma","OK",41,4,2,NA,6,48,6,1,NA,7,101,13,149,8.7
1986,"Oklahoma","OK",40,2,1,NA,3,48,6,4,NA,10,101,13,149,8.7
1985,"Oklahoma","OK",40,2,1,NA,3,48,6,4,NA,10,101,13,149,8.7
1984,"Oklahoma","OK",38,1,0,NA,1,48,7,4,NA,11,101,12,149,8.1
1983,"Oklahoma","OK",39,1,0,NA,1,48,7,4,NA,11,101,12,149,8.1
1981,"Oklahoma","OK",34,1,0,NA,1,48,6,5,NA,11,101,12,149,8.1
1979,"Oklahoma","OK",44,NA,NA,NA,0,48,NA,NA,NA,6,101,6,149,4
1977,"Oklahoma","OK",40,NA,NA,NA,1,48,NA,NA,NA,6,101,7,149,4.7
1975,"Oklahoma","OK",40,NA,NA,NA,1,48,NA,NA,NA,5,101,6,149,4
2014,"West Virginia","WV",44,0,1,NA,1,34,11,10,NA,21,100,22,134,16.4
2013,"West Virginia","WV",45,0,1,NA,1,34,11,10,NA,21,100,22,134,16.4
2012,"West Virginia","WV",40,0,2,NA,2,34,15,7,NA,22,100,24,134,17.9
2011,"West Virginia","WV",41,0,2,NA,2,34,15,7,NA,22,100,24,134,17.9
2010,"West Virginia","WV",42,0,2,NA,2,34,15,5,NA,20,100,22,134,16.4
2009,"West Virginia","WV",42,0,2,NA,2,34,15,5,NA,20,100,22,134,16.4
2008,"West Virginia","WV",46,0,2,NA,2,34,12,5,NA,17,100,19,134,14.2
2007,"West Virginia","WV",45,0,2,NA,2,34,12,5,NA,17,100,19,134,14.2
2006,"West Virginia","WV",42,0,3,NA,3,34,12,6,NA,18,100,21,134,15.7
2005,"West Virginia","WV",42,0,3,NA,3,34,12,6,NA,18,100,21,134,15.7
2004,"West Virginia","WV",34,1,4,NA,5,34,14,6,NA,20,100,25,134,18.7
2003,"West Virginia","WV",34,1,4,NA,5,34,14,6,NA,20,100,25,134,18.7
2002,"West Virginia","WV",35,2,3,NA,5,34,17,3,NA,20,100,25,134,18.7
2001,"West Virginia","WV",34,2,3,NA,5,34,17,3,NA,20,100,25,134,18.7
2000,"West Virginia","WV",36,2,2,NA,4,34,14,6,NA,20,100,24,134,17.9
1999,"West Virginia","WV",36,2,2,NA,4,34,14,6,NA,20,100,24,134,17.9
1998,"West Virginia","WV",41,2,2,NA,4,34,11,5,NA,16,100,20,134,14.9
1997,"West Virginia","WV",41,2,2,NA,4,34,11,5,NA,16,100,20,134,14.9
1996,"West Virginia","WV",38,3,2,NA,5,34,10,5,NA,15,100,20,134,14.9
1995,"West Virginia","WV",38,3,2,NA,5,34,10,5,NA,15,100,20,134,14.9
1994,"West Virginia","WV",34,4,1,NA,5,34,15,3,NA,18,100,23,134,17.2
1993,"West Virginia","WV",34,4,1,NA,5,34,14,3,NA,17,100,22,134,16.4
1992,"West Virginia","WV",17,5,1,NA,6,34,16,6,NA,22,100,28,134,20.9
1991,"West Virginia","WV",18,5,1,NA,6,34,16,6,NA,22,100,28,134,20.9
1990,"West Virginia","WV",18,6,1,NA,7,34,16,3,NA,19,100,26,134,19.4
1989,"West Virginia","WV",22,5,1,NA,6,34,16,2,NA,18,100,24,134,17.9
1988,"West Virginia","WV",25,2,1,NA,3,34,17,1,NA,18,100,21,134,15.7
1987,"West Virginia","WV",25,2,1,NA,3,34,17,1,NA,18,100,21,134,15.7
1986,"West Virginia","WV",17,2,1,NA,3,34,16,4,NA,20,100,23,134,17.2
1985,"West Virginia","WV",17,2,1,NA,3,34,16,4,NA,20,100,23,134,17.2
1984,"West Virginia","WV",21,3,0,NA,3,34,14,1,NA,15,100,18,134,13.4
1983,"West Virginia","WV",24,3,0,NA,3,34,13,1,NA,14,100,17,134,12.7
1981,"West Virginia","WV",19,2,0,NA,2,34,12,2,NA,14,100,16,134,11.9
1979,"West Virginia","WV",34,NA,NA,NA,1,34,NA,NA,NA,8,100,9,134,6.7
1977,"West Virginia","WV",20,NA,NA,NA,0,34,NA,NA,NA,12,100,12,134,9
1975,"West Virginia","WV",25,NA,NA,NA,1,34,NA,NA,NA,8,100,9,134,6.7
2014,"Hawaii","HI",7,8,0,NA,8,25,13,3,NA,16,51,24,76,31.6
2013,"Hawaii","HI",8,8,0,NA,8,25,12,3,NA,15,51,23,76,30.3
2012,"Hawaii","HI",3,9,0,NA,9,25,14,4,NA,18,51,27,76,35.5
2011,"Hawaii","HI",4,9,0,NA,9,25,13,4,NA,17,51,26,76,34.2
2010,"Hawaii","HI",5,7,0,NA,7,25,13,5,NA,18,51,25,76,32.9
2009,"Hawaii","HI",5,7,0,NA,7,25,13,5,NA,18,51,25,76,32.9
2008,"Hawaii","HI",7,7,0,NA,7,25,11,7,NA,18,51,25,76,32.9
2007,"Hawaii","HI",7,7,0,NA,7,25,11,7,NA,18,51,25,76,32.9
2006,"Hawaii","HI",9,6,0,NA,6,25,11,7,NA,18,51,24,76,31.6
2005,"Hawaii","HI",12,6,0,NA,6,25,11,6,NA,17,51,23,76,30.3
2004,"Hawaii","HI",15,7,0,NA,7,25,8,6,NA,14,51,21,76,27.6
2003,"Hawaii","HI",14,7,0,NA,7,25,8,6,NA,14,51,21,76,27.6
2002,"Hawaii","HI",19,6,0,NA,6,25,7,6,NA,13,51,19,76,25
2001,"Hawaii","HI",17,6,0,NA,6,25,7,6,NA,13,51,19,76,25
2000,"Hawaii","HI",25,5,0,NA,5,25,7,5,NA,12,51,17,76,22.4
1999,"Hawaii","HI",25,5,0,NA,5,25,7,5,NA,12,51,17,76,22.4
1998,"Hawaii","HI",33,5,0,NA,5,25,5,3,NA,8,51,13,76,17.1
1997,"Hawaii","HI",33,5,0,NA,5,25,5,3,NA,8,51,13,76,17.1
1996,"Hawaii","HI",29,5,0,NA,5,25,6,4,NA,10,51,15,76,19.7
1995,"Hawaii","HI",29,5,0,NA,5,25,6,4,NA,10,51,15,76,19.7
1994,"Hawaii","HI",14,7,1,NA,8,25,9,2,NA,11,51,19,76,25
1993,"Hawaii","HI",17,5,1,NA,6,25,10,2,NA,12,51,18,76,23.7
1992,"Hawaii","HI",8,6,1,NA,7,25,11,3,NA,14,51,21,76,27.6
1991,"Hawaii","HI",8,6,1,NA,7,25,11,3,NA,14,51,21,76,27.6
1990,"Hawaii","HI",10,6,1,NA,7,25,10,1,NA,11,51,18,76,23.7
1989,"Hawaii","HI",10,4,3,NA,7,25,9,2,NA,11,51,18,76,23.7
1988,"Hawaii","HI",11,5,3,NA,8,25,6,2,NA,8,51,16,76,21.1
1987,"Hawaii","HI",11,4,3,NA,7,25,7,2,NA,9,51,16,76,21.1
1986,"Hawaii","HI",14,4,2,NA,6,25,4,4,NA,8,51,14,76,18.4
1985,"Hawaii","HI",14,4,2,NA,6,25,4,4,NA,8,51,14,76,18.4
1984,"Hawaii","HI",5,3,2,NA,5,25,9,3,NA,12,51,17,76,22.4
1983,"Hawaii","HI",5,3,2,NA,5,25,9,3,NA,12,51,17,76,22.4
1981,"Hawaii","HI",10,1,3,NA,4,25,6,4,NA,10,51,14,76,18.4
1979,"Hawaii","HI",12,NA,NA,NA,3,25,NA,NA,NA,7,51,10,76,13.2
1977,"Hawaii","HI",12,NA,NA,NA,4,25,NA,NA,NA,5,51,9,76,11.8
1975,"Hawaii","HI",8,NA,NA,NA,4,25,NA,NA,NA,6,51,10,76,13.2
2014,"Mississippi","MS",39,2,6,NA,8,52,16,6,NA,22,122,30,174,17.2
2013,"Mississippi","MS",38,2,6,NA,8,52,16,7,NA,23,122,31,174,17.8
2012,"Mississippi","MS",44,1,6,NA,7,52,15,6,NA,21,122,28,174,16.1
2011,"Mississippi","MS",45,3,2,NA,5,52,17,4,NA,21,122,26,174,14.9
2010,"Mississippi","MS",47,3,1,NA,4,52,17,4,NA,21,122,25,174,14.4
2009,"Mississippi","MS",47,3,1,NA,4,52,17,4,NA,21,122,25,174,14.4
2008,"Mississippi","MS",45,3,1,NA,4,52,17,4,NA,21,122,25,174,14.4
2006,"Mississippi","MS",46,4,0,NA,4,52,15,5,NA,20,122,24,174,13.8
2004,"Mississippi","MS",47,4,0,NA,4,52,13,5,NA,18,122,22,174,12.6
2003,"Mississippi","MS",46,6,0,NA,6,52,12,4,NA,16,122,22,174,12.6
2002,"Mississippi","MS",46,6,0,NA,6,52,12,4,NA,16,122,22,174,12.6
2001,"Mississippi","MS",46,6,0,NA,6,52,12,4,NA,16,122,22,174,12.6
2000,"Mississippi","MS",46,6,0,NA,6,52,12,4,NA,16,122,22,174,12.6
1999,"Mississippi","MS",46,3,0,NA,3,52,14,4,NA,18,122,21,174,12.1
1998,"Mississippi","MS",44,3,0,NA,3,52,15,4,NA,19,122,22,174,12.6
1997,"Mississippi","MS",45,3,0,NA,3,52,15,4,NA,19,122,22,174,12.6
1996,"Mississippi","MS",46,3,0,NA,3,52,14,3,NA,17,122,20,174,11.5
1995,"Mississippi","MS",45,3,1,NA,4,52,14,2,NA,16,122,20,174,11.5
1994,"Mississippi","MS",43,3,1,NA,4,52,14,2,NA,16,122,20,174,11.5
1993,"Mississippi","MS",44,3,1,NA,4,52,13,2,NA,15,122,19,174,10.9
1992,"Mississippi","MS",48,2,1,NA,3,52,8,1,NA,9,122,12,174,6.9
1991,"Mississippi","MS",47,3,1,NA,4,52,8,0,NA,8,122,12,174,6.9
1990,"Mississippi","MS",48,2,1,NA,3,52,7,0,NA,7,122,10,174,5.7
1989,"Mississippi","MS",47,2,1,NA,3,52,7,0,NA,7,122,10,174,5.7
1988,"Mississippi","MS",48,2,1,NA,3,52,7,0,NA,7,122,10,174,5.7
1987,"Mississippi","MS",50,0,0,NA,0,52,4,0,NA,4,122,4,174,2.3
1986,"Mississippi","MS",48,0,0,NA,0,52,4,0,NA,4,122,4,174,2.3
1985,"Mississippi","MS",50,0,0,NA,0,52,4,0,NA,4,122,4,174,2.3
1984,"Mississippi","MS",50,0,0,NA,0,52,5,0,NA,5,122,5,174,2.9
1983,"Mississippi","MS",50,0,0,NA,0,52,3,0,NA,3,122,3,174,1.7
1981,"Mississippi","MS",50,0,0,NA,0,52,2,0,NA,2,122,2,174,1.1
1979,"Mississippi","MS",50,NA,NA,NA,0,52,NA,NA,NA,2,122,2,174,1.1
1977,"Mississippi","MS",50,NA,NA,NA,0,52,NA,NA,NA,2,122,2,174,1.1
1975,"Mississippi","MS",45,NA,NA,NA,1,52,NA,NA,NA,5,122,6,174,3.4
2014,"Oregon","OR",10,5,2,NA,7,30,15,5,NA,20,60,27,90,30
2013,"Oregon","OR",15,5,2,NA,7,30,13,5,NA,18,60,25,90,27.8
2012,"Oregon","OR",12,7,2,NA,9,30,12,5,NA,17,60,26,90,28.9
2011,"Oregon","OR",14,6,2,NA,8,30,12,5,NA,17,60,25,90,27.8
2010,"Oregon","OR",14,8,2,NA,10,30,13,3,NA,16,60,26,90,28.9
2009,"Oregon","OR",17,8,1,NA,9,30,12,3,NA,15,60,24,90,26.7
2008,"Oregon","OR",8,8,1,1,10,30,11,8,NA,19,60,29,90,32.2
2007,"Oregon","OR",10,8,1,NA,9,30,12,7,NA,19,60,28,90,31.1
2006,"Oregon","OR",15,8,1,NA,9,30,8,8,NA,16,60,25,90,27.8
2005,"Oregon","OR",15,8,1,NA,9,30,8,8,NA,16,60,25,90,27.8
2004,"Oregon","OR",9,6,1,NA,7,30,10,9,NA,19,60,26,90,28.9
2003,"Oregon","OR",4,6,2,NA,8,30,11,9,NA,20,60,28,90,31.1
2002,"Oregon","OR",5,7,1,NA,8,30,12,10,NA,22,60,30,90,33.3
2001,"Oregon","OR",5,7,1,NA,8,30,12,10,NA,22,60,30,90,33.3
2000,"Oregon","OR",8,6,2,NA,8,30,11,8,NA,19,60,27,90,30
1999,"Oregon","OR",8,6,2,NA,8,30,11,8,NA,19,60,27,90,30
1998,"Oregon","OR",17,5,4,NA,9,30,8,6,NA,14,60,23,90,25.6
1997,"Oregon","OR",17,5,4,NA,9,30,8,6,NA,14,60,23,90,25.6
1996,"Oregon","OR",7,4,3,NA,7,30,11,8,NA,19,60,26,90,28.9
1995,"Oregon","OR",7,4,3,NA,7,30,11,8,NA,19,60,26,90,28.9
1994,"Oregon","OR",12,6,1,NA,7,30,10,6,NA,16,60,23,90,25.6
1993,"Oregon","OR",9,7,1,NA,8,30,11,6,NA,17,60,25,90,27.8
1992,"Oregon","OR",12,6,1,NA,7,30,9,6,NA,15,60,22,90,24.4
1991,"Oregon","OR",14,6,1,NA,7,30,8,6,NA,14,60,21,90,23.3
1990,"Oregon","OR",16,6,1,NA,7,30,6,5,NA,11,60,18,90,20
1989,"Oregon","OR",16,6,1,NA,7,30,6,5,NA,11,60,18,90,20
1988,"Oregon","OR",20,4,1,NA,5,30,7,3,NA,10,60,15,90,16.7
1987,"Oregon","OR",20,4,2,NA,6,30,7,3,NA,10,60,16,90,17.8
1986,"Oregon","OR",8,4,2,NA,6,30,8,4,NA,12,60,18,90,20
1985,"Oregon","OR",8,4,2,NA,6,30,8,4,NA,12,60,18,90,20
1984,"Oregon","OR",7,4,2,NA,6,30,8,6,NA,14,60,20,90,22.2
1983,"Oregon","OR",7,4,2,NA,6,30,8,6,NA,14,60,20,90,22.2
1981,"Oregon","OR",6,1,0,NA,1,30,12,7,NA,19,60,20,90,22.2
1979,"Oregon","OR",10,NA,NA,NA,0,30,NA,NA,NA,13,60,13,90,14.4
1977,"Oregon","OR",9,NA,NA,NA,3,30,NA,NA,NA,9,60,12,90,13.3
1975,"Oregon","OR",10,NA,NA,NA,3,30,NA,NA,NA,8,60,11,90,12.2
2014,"Wisconsin","WI",21,5,4,NA,9,33,17,8,NA,25,99,34,132,25.8
2013,"Wisconsin","WI",20,5,4,NA,9,33,17,8,NA,25,99,34,132,25.8
2012,"Wisconsin","WI",25,5,4,NA,9,33,16,7,NA,23,99,32,132,24.2
2011,"Wisconsin","WI",19,5,5,NA,10,33,16,8,NA,24,99,34,132,25.8
2010,"Wisconsin","WI",32,4,3,NA,7,33,16,6,NA,22,99,29,132,22
2009,"Wisconsin","WI",31,4,3,NA,7,33,16,6,NA,22,99,29,132,22
2008,"Wisconsin","WI",27,4,3,NA,7,33,13,9,NA,22,99,29,132,22
2007,"Wisconsin","WI",25,4,4,NA,8,33,13,9,NA,22,99,30,132,22.7
2006,"Wisconsin","WI",18,3,5,NA,8,33,12,14,NA,26,99,34,132,25.8
2005,"Wisconsin","WI",18,3,5,NA,8,33,12,14,NA,26,99,34,132,25.8
2004,"Wisconsin","WI",12,3,6,NA,9,33,13,15,NA,28,99,37,132,28
2003,"Wisconsin","WI",16,3,6,NA,9,33,12,15,NA,27,99,36,132,27.3
2002,"Wisconsin","WI",22,3,7,NA,10,33,10,11,NA,21,99,31,132,23.5
2001,"Wisconsin","WI",20,3,7,NA,10,33,10,12,NA,22,99,32,132,24.2
2000,"Wisconsin","WI",24,4,7,NA,11,33,10,10,NA,20,99,31,132,23.5
1999,"Wisconsin","WI",24,4,7,NA,11,33,10,10,NA,20,99,31,132,23.5
1998,"Wisconsin","WI",20,3,7,NA,10,33,13,8,NA,21,99,31,132,23.5
1997,"Wisconsin","WI",20,3,6,NA,9,33,13,9,NA,22,99,31,132,23.5
1996,"Wisconsin","WI",15,2,6,NA,8,33,15,9,NA,24,99,32,132,24.2
1995,"Wisconsin","WI",15,2,6,NA,8,33,15,9,NA,24,99,32,132,24.2
1994,"Wisconsin","WI",9,2,7,NA,9,33,16,11,NA,27,99,36,132,27.3
1993,"Wisconsin","WI",11,2,7,NA,9,33,16,11,NA,27,99,36,132,27.3
1992,"Wisconsin","WI",13,1,4,NA,5,33,19,8,NA,27,99,32,132,24.2
1991,"Wisconsin","WI",13,1,4,NA,5,33,19,7,NA,26,99,31,132,23.5
1990,"Wisconsin","WI",7,1,3,NA,4,33,18,12,NA,30,99,34,132,25.8
1989,"Wisconsin","WI",7,1,3,NA,4,33,18,12,NA,30,99,34,132,25.8
1988,"Wisconsin","WI",10,1,3,NA,4,33,14,10,NA,24,99,28,132,21.2
1987,"Wisconsin","WI",10,1,3,NA,4,33,14,10,NA,24,99,28,132,21.2
1986,"Wisconsin","WI",13,1,2,NA,3,33,12,10,NA,22,99,25,132,18.9
1985,"Wisconsin","WI",13,1,2,NA,3,33,12,10,NA,22,99,25,132,18.9
1984,"Wisconsin","WI",9,0,2,NA,2,33,12,12,NA,24,99,26,132,19.7
1983,"Wisconsin","WI",9,0,2,NA,2,33,12,12,NA,24,99,26,132,19.7
1981,"Wisconsin","WI",11,0,2,NA,2,33,11,7,NA,18,99,20,132,15.2
1979,"Wisconsin","WI",20,NA,NA,NA,1,33,NA,NA,NA,12,99,13,132,9.8
1977,"Wisconsin","WI",19,NA,NA,NA,2,33,NA,NA,NA,10,99,12,132,9.1
1975,"Wisconsin","WI",22,NA,NA,NA,1,33,NA,NA,NA,9,99,10,132,7.6
2014,"Idaho","ID",17,3,3,NA,6,35,8,14,NA,22,70,28,105,26.7
2013,"Idaho","ID",22,2,3,NA,5,35,8,14,NA,22,70,27,105,25.7
2012,"Idaho","ID",15,3,6,NA,9,35,8,12,NA,20,70,29,105,27.6
2011,"Idaho","ID",15,3,6,NA,9,35,8,12,NA,20,70,29,105,27.6
2010,"Idaho","ID",21,4,5,NA,9,35,11,7,NA,18,70,27,105,25.7
2009,"Idaho","ID",23,3,5,NA,8,35,11,7,NA,18,70,26,105,24.8
2008,"Idaho","ID",22,2,4,NA,6,35,12,7,NA,19,70,25,105,23.8
2007,"Idaho","ID",22,2,4,NA,6,35,12,7,NA,19,70,25,105,23.8
2006,"Idaho","ID",16,1,3,NA,4,35,9,16,NA,25,70,29,105,27.6
2005,"Idaho","ID",17,1,3,NA,4,35,9,16,NA,25,70,29,105,27.6
2004,"Idaho","ID",19,1,2,NA,3,35,8,16,NA,24,70,27,105,25.7
2003,"Idaho","ID",20,1,3,NA,4,35,8,15,NA,23,70,27,105,25.7
2002,"Idaho","ID",15,1,5,NA,6,35,4,18,NA,22,70,28,105,26.7
2001,"Idaho","ID",18,1,5,NA,6,35,4,16,NA,20,70,26,105,24.8
2000,"Idaho","ID",17,2,4,NA,6,35,6,15,NA,21,70,27,105,25.7
1999,"Idaho","ID",18,2,4,NA,6,35,5,15,NA,20,70,26,105,24.8
1998,"Idaho","ID",18,2,4,NA,6,35,4,15,NA,19,70,25,105,23.8
1997,"Idaho","ID",18,2,4,NA,6,35,4,15,NA,19,70,25,105,23.8
1996,"Idaho","ID",10,4,3,NA,7,35,5,17,NA,22,70,29,105,27.6
1995,"Idaho","ID",10,4,3,NA,7,35,5,17,NA,22,70,29,105,27.6
1994,"Idaho","ID",7,6,3,NA,9,35,5,17,NA,22,70,31,105,29.5
1993,"Idaho","ID",7,6,3,NA,9,35,6,17,NA,23,70,32,105,30.5
1992,"Idaho","ID",7,10,2,NA,12,42,10,14,NA,24,84,36,126,28.6
1991,"Idaho","ID",7,10,2,NA,12,42,10,14,NA,24,84,36,126,28.6
1990,"Idaho","ID",9,5,4,NA,9,42,6,16,NA,22,84,31,126,24.6
1989,"Idaho","ID",9,6,3,NA,9,42,5,17,NA,22,84,31,126,24.6
1988,"Idaho","ID",8,5,2,NA,7,42,6,14,NA,20,84,27,126,21.4
1987,"Idaho","ID",9,5,2,NA,7,42,6,14,NA,20,84,27,126,21.4
1986,"Idaho","ID",12,5,2,NA,7,42,4,13,NA,17,84,24,126,19
1985,"Idaho","ID",12,5,2,NA,7,42,4,13,NA,17,84,24,126,19
1984,"Idaho","ID",16,4,1,NA,5,35,3,8,NA,11,70,16,105,15.2
1983,"Idaho","ID",16,4,0,NA,4,35,3,9,NA,12,70,16,105,15.2
1981,"Idaho","ID",31,1,1,NA,2,35,2,6,NA,8,70,10,105,9.5
1979,"Idaho","ID",21,NA,NA,NA,2,35,NA,NA,NA,8,70,10,105,9.5
1977,"Idaho","ID",17,NA,NA,NA,2,35,NA,NA,NA,8,70,10,105,9.5
1975,"Idaho","ID",16,NA,NA,NA,1,35,NA,NA,NA,9,70,10,105,9.5
2014,"Missouri","MO",30,5,0,NA,5,34,19,19,NA,38,163,43,197,21.8
2013,"Missouri","MO",31,5,0,NA,5,34,19,19,NA,38,163,43,197,21.8
2012,"Missouri","MO",27,4,2,NA,6,34,23,18,NA,41,163,47,197,23.9
2011,"Missouri","MO",25,4,2,NA,6,34,22,18,1,41,163,47,197,23.9
2010,"Missouri","MO",29,5,3,NA,8,34,26,10,NA,36,163,44,197,22.3
2009,"Missouri","MO",33,5,3,NA,8,34,25,9,NA,34,163,42,197,21.3
2008,"Missouri","MO",30,5,2,NA,7,34,23,10,NA,33,163,40,197,20.3
2007,"Missouri","MO",33,5,2,NA,7,34,22,9,NA,31,163,38,197,19.3
2006,"Missouri","MO",26,4,2,NA,6,34,26,10,NA,36,163,42,197,21.3
2005,"Missouri","MO",26,4,2,NA,6,34,25,10,NA,35,163,41,197,20.8
2004,"Missouri","MO",27,4,3,NA,7,34,24,11,NA,35,163,42,197,21.3
2003,"Missouri","MO",28,4,3,NA,7,34,24,11,NA,35,163,42,197,21.3
2002,"Missouri","MO",24,2,4,NA,6,34,24,15,NA,39,163,45,197,22.8
2001,"Missouri","MO",22,2,4,NA,6,34,25,15,NA,40,163,46,197,23.4
2000,"Missouri","MO",26,2,4,NA,6,34,22,16,NA,38,163,44,197,22.3
1999,"Missouri","MO",26,1,4,NA,5,34,22,16,NA,38,163,43,197,21.8
1998,"Missouri","MO",27,0,3,NA,3,34,21,18,NA,39,163,42,197,21.3
1997,"Missouri","MO",27,0,3,NA,3,34,21,18,NA,39,163,42,197,21.3
1996,"Missouri","MO",28,0,3,NA,3,34,18,18,NA,36,163,39,197,19.8
1995,"Missouri","MO",28,0,3,NA,3,34,18,18,NA,36,163,39,197,19.8
1994,"Missouri","MO",26,1,1,NA,2,34,24,14,NA,38,163,40,197,20.3
1993,"Missouri","MO",29,0,1,NA,1,34,22,14,NA,36,163,37,197,18.8
1992,"Missouri","MO",28,1,1,NA,2,34,21,8,NA,29,163,31,197,15.7
1991,"Missouri","MO",27,1,1,NA,2,34,22,8,NA,30,163,32,197,16.2
1990,"Missouri","MO",31,1,1,NA,2,34,19,8,NA,27,163,29,197,14.7
1989,"Missouri","MO",31,1,1,NA,2,34,19,8,NA,27,163,29,197,14.7
1988,"Missouri","MO",24,1,1,NA,2,34,22,7,NA,29,163,31,197,15.7
1987,"Missouri","MO",24,1,1,NA,2,34,22,7,NA,29,163,31,197,15.7
1986,"Missouri","MO",28,1,1,NA,2,34,17,7,NA,24,163,26,197,13.2
1985,"Missouri","MO",28,1,1,NA,2,34,17,7,NA,24,163,26,197,13.2
1984,"Missouri","MO",25,2,0,NA,2,34,16,7,NA,23,163,25,197,12.7
1983,"Missouri","MO",23,2,0,NA,2,34,16,7,NA,23,163,25,197,12.7
1981,"Missouri","MO",23,2,0,NA,2,34,16,4,NA,20,163,22,197,11.2
1979,"Missouri","MO",26,NA,NA,NA,3,34,NA,NA,NA,14,163,17,197,8.6
1977,"Missouri","MO",23,NA,NA,NA,2,34,NA,NA,NA,14,163,16,197,8.1
1975,"Missouri","MO",36,NA,NA,NA,1,34,NA,NA,NA,11,163,12,197,6.1
2014,"Pennsylvania","PA",38,5,3,NA,8,50,16,21,NA,37,203,45,253,17.8
2013,"Pennsylvania","PA",38,5,3,NA,8,50,16,21,NA,37,203,45,253,17.8
2012,"Pennsylvania","PA",42,5,5,NA,10,50,14,19,NA,33,203,43,253,17
2011,"Pennsylvania","PA",42,5,6,NA,11,50,14,19,NA,33,203,44,253,17.4
2010,"Pennsylvania","PA",46,4,6,NA,10,50,11,18,NA,29,203,39,253,15.4
2009,"Pennsylvania","PA",46,4,6,NA,10,50,11,16,NA,27,203,37,253,14.6
2008,"Pennsylvania","PA",44,5,5,NA,10,50,11,16,NA,27,203,37,253,14.6
2007,"Pennsylvania","PA",44,5,5,NA,10,50,11,16,NA,27,203,37,253,14.6
2006,"Pennsylvania","PA",47,5,4,NA,9,50,9,16,NA,25,203,34,253,13.4
2005,"Pennsylvania","PA",46,5,4,NA,9,50,9,16,NA,25,203,34,253,13.4
2004,"Pennsylvania","PA",45,5,3,NA,8,50,10,18,NA,28,203,36,253,14.2
2003,"Pennsylvania","PA",45,5,3,NA,8,50,10,17,NA,27,203,35,253,13.8
2002,"Pennsylvania","PA",44,5,3,NA,8,50,12,15,NA,27,203,35,253,13.8
2001,"Pennsylvania","PA",44,4,3,NA,7,50,12,15,NA,27,203,34,253,13.4
2000,"Pennsylvania","PA",45,4,3,NA,7,50,12,13,NA,25,203,32,253,12.6
1999,"Pennsylvania","PA",45,4,3,NA,7,50,12,13,NA,25,203,32,253,12.6
1998,"Pennsylvania","PA",46,3,3,NA,6,50,12,13,NA,25,203,31,253,12.3
1997,"Pennsylvania","PA",46,3,3,NA,6,50,12,13,NA,25,203,31,253,12.3
1996,"Pennsylvania","PA",45,3,1,NA,4,50,12,14,NA,26,203,30,253,11.9
1995,"Pennsylvania","PA",44,3,1,NA,4,50,12,14,NA,26,203,30,253,11.9
1994,"Pennsylvania","PA",46,3,1,NA,4,50,14,10,NA,24,203,28,253,11.1
1993,"Pennsylvania","PA",46,3,1,NA,4,50,11,10,NA,21,203,25,253,9.9
1992,"Pennsylvania","PA",44,3,1,NA,4,50,9,11,NA,20,203,24,253,9.5
1991,"Pennsylvania","PA",44,3,1,NA,4,50,9,11,NA,20,203,24,253,9.5
1990,"Pennsylvania","PA",46,2,0,NA,2,50,7,8,NA,15,203,17,253,6.7
1989,"Pennsylvania","PA",46,2,0,NA,2,50,7,8,NA,15,203,17,253,6.7
1988,"Pennsylvania","PA",45,2,0,NA,2,50,6,9,NA,15,203,17,253,6.7
1987,"Pennsylvania","PA",46,2,0,NA,2,50,5,9,NA,14,203,16,253,6.3
1986,"Pennsylvania","PA",48,2,0,NA,2,50,3,8,NA,11,203,13,253,5.1
1985,"Pennsylvania","PA",48,2,0,NA,2,50,3,8,NA,11,203,13,253,5.1
1984,"Pennsylvania","PA",48,1,0,NA,1,50,2,7,NA,9,203,10,253,4
1983,"Pennsylvania","PA",48,1,0,NA,1,50,2,7,NA,9,203,10,253,4
1981,"Pennsylvania","PA",45,1,0,NA,1,50,2,9,NA,11,203,12,253,4.7
1979,"Pennsylvania","PA",43,NA,NA,NA,1,50,NA,NA,NA,10,203,11,253,4.3
1977,"Pennsylvania","PA",43,NA,NA,NA,1,50,NA,NA,NA,10,203,11,253,4.3
1975,"Pennsylvania","PA",43,NA,NA,NA,1,50,NA,NA,NA,8,203,9,253,3.6
2014,"Wyoming","WY",46,1,1,NA,2,30,2,10,NA,12,60,14,90,15.6
2013,"Wyoming","WY",43,1,1,NA,2,30,2,11,NA,13,60,15,90,16.7
2012,"Wyoming","WY",45,0,1,NA,1,30,3,10,NA,13,60,14,90,15.6
2011,"Wyoming","WY",47,0,1,NA,1,30,3,9,NA,12,60,13,90,14.4
