"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
2009,"Florida","FL",27,5,4,NA,9,40,14,14,NA,28,120,37,160,23.1
2008,"Florida","FL",25,6,4,NA,10,40,16,11,NA,27,120,37,160,23.1
2007,"Florida","FL",24,6,4,NA,10,40,16,11,NA,27,120,37,160,23.1
2006,"Florida","FL",22,5,4,NA,9,40,12,18,NA,30,120,39,160,24.4
2005,"Florida","FL",22,5,4,NA,9,40,13,17,NA,30,120,39,160,24.4
2004,"Florida","FL",20,5,5,NA,10,40,15,15,NA,30,120,40,160,25
2003,"Florida","FL",22,5,5,NA,10,40,15,14,NA,29,120,39,160,24.4
2002,"Florida","FL",21,3,4,NA,7,40,17,14,NA,31,120,38,160,23.8
2001,"Florida","FL",21,3,4,NA,7,40,17,14,NA,31,120,38,160,23.8
2000,"Florida","FL",23,3,4,NA,7,40,21,11,NA,32,120,39,160,24.4
1999,"Florida","FL",23,3,4,NA,7,40,20,11,NA,31,120,38,160,23.8
1998,"Florida","FL",19,2,4,NA,6,40,23,9,NA,32,120,38,160,23.8
1997,"Florida","FL",19,2,4,NA,6,40,23,9,NA,32,120,38,160,23.8
1996,"Florida","FL",30,3,3,NA,6,40,20,5,NA,25,120,31,160,19.4
1995,"Florida","FL",30,3,3,NA,6,40,20,5,NA,25,120,31,160,19.4
1994,"Florida","FL",31,4,2,NA,6,40,17,6,NA,23,120,29,160,18.1
1993,"Florida","FL",31,4,2,NA,6,40,16,6,NA,22,120,28,160,17.5
1992,"Florida","FL",21,8,2,NA,10,40,11,9,NA,20,120,30,160,18.8
1991,"Florida","FL",22,8,2,NA,10,40,11,9,NA,20,120,30,160,18.8
1990,"Florida","FL",25,7,3,NA,10,40,8,8,NA,16,120,26,160,16.3
1989,"Florida","FL",25,7,3,NA,10,40,8,8,NA,16,120,26,160,16.3
1988,"Florida","FL",13,6,4,NA,10,40,13,10,NA,23,120,33,160,20.6
1987,"Florida","FL",13,6,4,NA,10,40,13,10,NA,23,120,33,160,20.6
1986,"Florida","FL",10,7,2,NA,9,40,11,11,NA,22,120,31,160,19.4
1985,"Florida","FL",10,7,2,NA,9,40,11,11,NA,22,120,31,160,19.4
1984,"Florida","FL",13,7,2,NA,9,40,11,8,NA,19,120,28,160,17.5
1983,"Florida","FL",13,7,2,NA,9,40,11,8,NA,19,120,28,160,17.5
